#t	m1	m2	m3
187	0.8846	-0.0466	0.3104
188	0.8948	-0.0494	0.311
189	0.894	-0.0496	0.3098
190	0.8954	-0.052	0.303
191	0.8988	-0.0424	0.3166
192	0.8988	-0.0434	0.3196
193	0.9028	-0.0414	0.3188
194	0.9042	-0.0456	0.3154
195	0.9038	-0.0492	0.3136
196	0.9096	-0.035	0.3114
197	0.9146	-0.0368	0.3094
198	0.9104	-0.0444	0.3084
199	0.9138	-0.0422	0.3038
200	0.92	-0.039	0.2968
201	0.9122	-0.0432	0.298
202	0.9194	-0.0476	0.2978
203	0.9168	-0.0562	0.3024
204	0.9186	-0.0626	0.2962
205	0.9136	-0.0662	0.3058
206	0.9094	-0.063	0.3126
207	0.914	-0.0646	0.3068
208	0.915	-0.0592	0.3114
209	0.921	-0.0672	0.309
210	0.9176	-0.0774	0.2998
211	0.9254	-0.0642	0.2946
212	0.9156	-0.074	0.2808
213	0.9124	-0.063	0.2792
214	0.919	-0.0562	0.292
215	0.9134	-0.0512	0.2958
216	0.9166	-0.05	0.2932
217	0.9168	-0.05	0.2858
218	0.8996	-0.0494	0.2882
219	0.8978	-0.0582	0.2864
220	0.898	-0.0602	0.2868
221	0.896	-0.0686	0.293
222	0.8978	-0.0696	0.2982
223	0.903	-0.072	0.3026
224	0.898	-0.0734	0.3058
225	0.8984	-0.0654	0.3132
226	0.9068	-0.0706	0.3176
227	0.911	-0.0662	0.3236
228	0.9164	-0.0634	0.3216
229	0.9156	-0.0504	0.3158
230	0.9218	-0.0482	0.32
231	0.9214	-0.0466	0.3238
232	0.9274	-0.0476	0.3268
233	0.924	-0.0558	0.3176
234	0.9092	-0.058	0.3188
235	0.9112	-0.0622	0.3192
236	0.9126	-0.0562	0.317
237	0.9178	-0.0576	0.3136
238	0.9178	-0.0626	0.3144
239	0.9222	-0.067	0.3228
240	0.9148	-0.0726	0.323
241	0.9184	-0.0626	0.3202
242	0.9158	-0.0652	0.3282
243	0.9238	-0.0612	0.3266
244	0.9112	-0.068	0.3308
245	0.9172	-0.0674	0.3316
246	0.909	-0.0772	0.3244
247	0.9088	-0.0596	0.3364
248	0.9066	-0.0584	0.3342
249	0.9074	-0.056	0.3294
250	0.9098	-0.0522	0.321
251	0.9118	-0.0488	0.3208
252	0.9144	-0.0444	0.3312
253	0.9092	-0.0428	0.3368
254	0.9186	-0.0468	0.3438
255	0.9182	-0.0354	0.3478
256	0.9238	-0.0416	0.3496
257	0.924	-0.0408	0.3412
258	0.9254	-0.0366	0.3472
259	0.9272	-0.0514	0.344
260	0.9272	-0.0528	0.3414
261	0.9314	-0.0424	0.3524
262	0.9308	-0.039	0.3524
263	0.9278	-0.037	0.3466
264	0.9162	-0.0354	0.3428
265	0.9158	-0.0342	0.3342
266	0.914	-0.0374	0.3382
267	0.9128	-0.0334	0.3422
268	0.9106	-0.0414	0.3338
269	0.9028	-0.05	0.3344
270	0.9074	-0.0598	0.3402
271	0.9058	-0.065	0.3422
