#t	m1	m2	m3
803	0.9138	-0.1828	0.4484
804	0.9188	-0.1808	0.455
805	0.919	-0.1808	0.4422
806	0.9246	-0.1768	0.4526
807	0.9226	-0.1924	0.4658
808	0.9234	-0.1878	0.4604
809	0.921	-0.1868	0.4574
810	0.9112	-0.1778	0.4628
811	0.9102	-0.1802	0.4634
812	0.911	-0.187	0.4626
813	0.9068	-0.1918	0.4612
814	0.9082	-0.1894	0.4698
815	0.9086	-0.1938	0.4746
816	0.9084	-0.2	0.4742
817	0.9104	-0.1966	0.4694
818	0.9138	-0.1978	0.4752
819	0.9152	-0.1972	0.4758
820	0.9146	-0.1914	0.4818
821	0.914	-0.1922	0.476
822	0.9134	-0.2016	0.489
823	0.9048	-0.2024	0.4874
824	0.9006	-0.2002	0.485
825	0.9004	-0.1946	0.4872
826	0.9086	-0.2002	0.5014
827	0.9098	-0.1916	0.4884
828	0.9072	-0.1974	0.5038
829	0.9002	-0.197	0.5028
830	0.8996	-0.2044	0.495
831	0.8986	-0.2034	0.4966
832	0.8954	-0.201	0.4938
833	0.895	-0.2076	0.4912
834	0.9036	-0.2026	0.4912
835	0.9096	-0.2154	0.4932
836	0.911	-0.2142	0.4944
837	0.9146	-0.2166	0.4962
838	0.9192	-0.225	0.5032
839	0.9158	-0.2236	0.4982
840	0.9166	-0.2222	0.4984
841	0.9152	-0.2168	0.501
842	0.914	-0.2248	0.5066
843	0.9136	-0.224	0.503
844	0.9218	-0.2278	0.5134
845	0.919	-0.2222	0.5016
846	0.9198	-0.2114	0.5006
847	0.923	-0.2054	0.5046
848	0.9156	-0.21	0.503
849	0.9208	-0.2144	0.5042
850	0.926	-0.2222	0.5006
851	0.9316	-0.22	0.5014
852	0.9274	-0.226	0.498
853	0.9266	-0.2396	0.5046
854	0.9244	-0.2296	0.4982
855	0.9186	-0.2194	0.4886
856	0.9162	-0.2192	0.4916
857	0.9098	-0.2266	0.482
858	0.9048	-0.2344	0.4772
859	0.9022	-0.246	0.4832
860	0.9014	-0.252	0.4806
861	0.902	-0.2492	0.4852
862	0.8956	-0.253	0.4878
863	0.9024	-0.2586	0.4934
864	0.898	-0.2658	0.4958
865	0.8972	-0.2604	0.4966
866	0.9038	-0.2588	0.4916
867	0.9058	-0.2686	0.4914
868	0.9046	-0.265	0.4918
869	0.9062	-0.2632	0.4952
870	0.8978	-0.266	0.5034
871	0.914	-0.2668	0.5016
872	0.9128	-0.2728	0.4958
873	0.9182	-0.2798	0.5022
874	0.9122	-0.286	0.4972
875	0.9054	-0.2844	0.5018
876	0.9106	-0.2682	0.4978
877	0.9122	-0.267	0.4952
878	0.916	-0.2646	0.505
879	0.911	-0.2604	0.5028
880	0.9056	-0.2512	0.5042
881	0.8948	-0.261	0.5
882	0.898	-0.259	0.5044
883	0.9084	-0.2596	0.5024
884	0.9134	-0.2628	0.4984
885	0.9208	-0.2542	0.4922
886	0.9216	-0.2568	0.4966
887	0.9224	-0.2636	0.487
888	0.9242	-0.2692	0.4856
889	0.9208	-0.2664	0.4848
890	0.9234	-0.2636	0.4834
891	0.9202	-0.2648	0.4846
892	0.918	-0.2802	0.4856
893	0.915	-0.272	0.4812
894	0.9162	-0.2794	0.4908
895	0.9224	-0.2916	0.4974
896	0.9294	-0.29	0.4932
897	0.9232	-0.2902	0.4884
898	0.9284	-0.2982	0.4774
899	0.9236	-0.2918	0.481
900	0.9214	-0.2926	0.4806
901	0.9164	-0.3002	0.4792
902	0.9166	-0.2866	0.4764
903	0.919	-0.2764	0.4796
904	0.9126	-0.2774	0.4844
905	0.9184	-0.282	0.483
906	0.9184	-0.2868	0.4788
907	0.9168	-0.2818	0.4902
908	0.9216	-0.2854	0.4898
909	0.918	-0.283	0.4926
910	0.9138	-0.2716	0.4878
911	0.9196	-0.2742	0.4872
912	0.9248	-0.2566	0.4984
913	0.9194	-0.2514	0.4998
914	0.9162	-0.2498	0.5008
915	0.9236	-0.249	0.5024
916	0.9172	-0.2586	0.5002
917	0.9206	-0.2736	0.5042
918	0.9208	-0.2728	0.5
919	0.9196	-0.2702	0.4962
920	0.9182	-0.2786	0.4924
921	0.9168	-0.2794	0.4952
922	0.923	-0.2836	0.4996
923	0.92	-0.2728	0.5024
924	0.9212	-0.2794	0.5048
925	0.923	-0.2716	0.501
926	0.9234	-0.2802	0.5068
927	0.9264	-0.2854	0.4972
928	0.9246	-0.2914	0.5052
929	0.9178	-0.2968	0.4994
930	0.9136	-0.2892	0.4988
931	0.9082	-0.2898	0.4944
932	0.9078	-0.2882	0.488
933	0.9174	-0.2786	0.4982
934	0.918	-0.2724	0.5042
935	0.9132	-0.2802	0.5122
936	0.9144	-0.2736	0.5054
937	0.9156	-0.2714	0.5066
938	0.9138	-0.2748	0.507
939	0.9156	-0.2804	0.505
940	0.9118	-0.272	0.506
941	0.9084	-0.268	0.5056
942	0.9136	-0.2734	0.5012
943	0.9122	-0.2732	0.5018
944	0.9088	-0.2786	0.4926
945	0.914	-0.2806	0.4986
946	0.9144	-0.284	0.496
947	0.9186	-0.296	0.4976
948	0.919	-0.3002	0.5018
949	0.919	-0.3022	0.5022
950	0.9196	-0.3036	0.498
951	0.9176	-0.3104	0.508
952	0.9146	-0.3048	0.5042
953	0.9162	-0.2994	0.51
954	0.9146	-0.2974	0.5194
955	0.9156	-0.2922	0.5192
956	0.9144	-0.295	0.519
957	0.9218	-0.2954	0.516
958	0.9228	-0.291	0.5138
959	0.9306	-0.2942	0.5114
960	0.928	-0.2946	0.51
961	0.928	-0.2842	0.5106
962	0.9296	-0.2906	0.517
963	0.926	-0.2986	0.5174
964	0.9148	-0.292	0.52
965	0.9172	-0.2852	0.5246
966	0.9158	-0.2978	0.5192
967	0.9268	-0.298	0.5176
968	0.9248	-0.2944	0.5064
969	0.9196	-0.2982	0.5034
970	0.9236	-0.298	0.4994
971	0.9194	-0.2972	0.5
972	0.917	-0.2962	0.5054
973	0.914	-0.2988	0.5052
974	0.9168	-0.2976	0.5096
975	0.9002	-0.3058	0.5034
976	0.9016	-0.3052	0.496
977	0.903	-0.3014	0.4894
978	0.8996	-0.2968	0.483
979	0.908	-0.3014	0.4884
980	0.9116	-0.3032	0.4814
981	0.9082	-0.3092	0.4802
982	0.9126	-0.3184	0.4866
983	0.913	-0.321	0.4932
984	0.9134	-0.3196	0.505
985	0.9144	-0.3228	0.5014
986	0.9158	-0.3204	0.5062
987	0.9134	-0.3276	0.4966
988	0.9238	-0.3282	0.4944
989	0.9288	-0.3288	0.49
990	0.9286	-0.3206	0.4914
991	0.9312	-0.3318	0.4986
992	0.9264	-0.3224	0.4822
993	0.9328	-0.3266	0.4944
994	0.9266	-0.3284	0.4938
995	0.9356	-0.3278	0.4944
996	0.9286	-0.3226	0.4936
997	0.9278	-0.3296	0.4982
998	0.918	-0.3424	0.496
999	0.9114	-0.3506	0.493
1000	0.9014	-0.3428	0.4896
1001	0.899	-0.336	0.485
1002	0.9036	-0.342	0.4824
1003	0.903	-0.3476	0.477
1004	0.8948	-0.343	0.48
1005	0.8976	-0.3422	0.4872
1006	0.9092	-0.3494	0.4844
1007	0.9078	-0.3594	0.4812
1008	0.8986	-0.3524	0.4856
1009	0.902	-0.3486	0.491
1010	0.9124	-0.3426	0.4936
1011	0.9082	-0.3496	0.4928
1012	0.9074	-0.346	0.4932
1013	0.907	-0.3484	0.4852
1014	0.9126	-0.355	0.4872
1015	0.9054	-0.3542	0.4792
1016	0.9116	-0.3512	0.4756
1017	0.9056	-0.345	0.485
1018	0.909	-0.3452	0.4798
1019	0.9016	-0.3522	0.4794
1020	0.9124	-0.349	0.4772
1021	0.9066	-0.3506	0.4798
1022	0.9098	-0.3532	0.49
1023	0.9158	-0.3574	0.4778
1024	0.9136	-0.3634	0.4794
1025	0.918	-0.3622	0.4712
1026	0.9186	-0.3638	0.4564
1027	0.9158	-0.3594	0.4694
1028	0.9232	-0.3536	0.469
1029	0.9198	-0.3426	0.4852
1030	0.9176	-0.3464	0.4934
1031	0.9204	-0.3456	0.4824
1032	0.921	-0.347	0.4718
1033	0.9272	-0.3544	0.469
1034	0.9256	-0.3482	0.4746
1035	0.9214	-0.349	0.4756
1036	0.9182	-0.3482	0.4714
1037	0.919	-0.3534	0.4664
1038	0.9158	-0.3556	0.4592
1039	0.9096	-0.3584	0.4544
1040	0.917	-0.366	0.4568
1041	0.9188	-0.3666	0.4556
1042	0.9184	-0.3606	0.458
1043	0.912	-0.37	0.4634
1044	0.9068	-0.3698	0.459
1045	0.909	-0.367	0.461
1046	0.9144	-0.3606	0.4628
1047	0.9112	-0.3604	0.4604
1048	0.9066	-0.3562	0.4618
1049	0.9102	-0.3592	0.474
1050	0.9078	-0.3678	0.4744
1051	0.9172	-0.3656	0.4746
1052	0.911	-0.3618	0.4732
1053	0.9118	-0.3612	0.4728
1054	0.9086	-0.3628	0.4724
1055	0.9144	-0.3754	0.4724
1056	0.9096	-0.3612	0.4786
1057	0.9044	-0.3682	0.48
1058	0.9036	-0.3646	0.4836
1059	0.9074	-0.367	0.4824
1060	0.906	-0.3744	0.4842
1061	0.9034	-0.377	0.4908
1062	0.9036	-0.3792	0.4876
1063	0.9026	-0.3828	0.4908
1064	0.8978	-0.388	0.4938
1065	0.9046	-0.3944	0.4952
1066	0.9064	-0.389	0.49
1067	0.9126	-0.3922	0.4696
1068	0.91	-0.4002	0.4726
1069	0.91	-0.4022	0.4688
1070	0.9144	-0.4028	0.474
1071	0.9138	-0.3878	0.484
1072	0.909	-0.391	0.4796
1073	0.895	-0.3872	0.4878
1074	0.8968	-0.3854	0.481
1075	0.8928	-0.3866	0.4824
1076	0.8944	-0.396	0.4884
1077	0.9088	-0.3878	0.4914
1078	0.9142	-0.3924	0.4928
1079	0.9128	-0.396	0.4942
1080	0.9108	-0.3922	0.4958
1081	0.9102	-0.3722	0.495
1082	0.9136	-0.3864	0.49
1083	0.9096	-0.3856	0.4798
1084	0.9144	-0.3888	0.4862
1085	0.9084	-0.3816	0.48
1086	0.9092	-0.3792	0.478
1087	0.9094	-0.39	0.4812
1088	0.9158	-0.3936	0.4828
1089	0.9194	-0.3852	0.4776
1090	0.9232	-0.3808	0.4776
1091	0.9246	-0.3812	0.4722
1092	0.92	-0.3818	0.47
1093	0.9164	-0.3742	0.47
1094	0.9194	-0.3762	0.467
1095	0.9198	-0.3748	0.477
1096	0.9096	-0.3804	0.4716
1097	0.9074	-0.3862	0.479
1098	0.913	-0.3918	0.4782
1099	0.9128	-0.3948	0.4754
1100	0.9126	-0.3936	0.4838
1101	0.9168	-0.4022	0.4888
1102	0.9124	-0.4052	0.4838
1103	0.9078	-0.3928	0.4792
1104	0.9074	-0.4004	0.4764
1105	0.9028	-0.3998	0.4808
1106	0.9114	-0.4038	0.476
1107	0.9132	-0.4016	0.4788
1108	0.9048	-0.4096	0.479
1109	0.905	-0.4158	0.4744
1110	0.8998	-0.4214	0.4736
1111	0.9092	-0.4184	0.4774
1112	0.9092	-0.4124	0.4854
1113	0.9084	-0.4112	0.4776
1114	0.9136	-0.4208	0.4866
1115	0.915	-0.4062	0.4786
1116	0.9212	-0.4074	0.476
1117	0.9172	-0.4088	0.4738
1118	0.9206	-0.3948	0.4766
1119	0.9142	-0.393	0.4738
1120	0.9176	-0.3942	0.4718
1121	0.9138	-0.3984	0.4774
1122	0.915	-0.3992	0.48
1123	0.9152	-0.399	0.4866
1124	0.9106	-0.3968	0.472
1125	0.911	-0.4038	0.4716
1126	0.9118	-0.3988	0.467
1127	0.9102	-0.4052	0.4654
1128	0.9254	-0.4098	0.4694
1129	0.9164	-0.4026	0.4814
1130	0.917	-0.4018	0.492
1131	0.9154	-0.398	0.4878
1132	0.9188	-0.4032	0.4846
1133	0.9138	-0.4064	0.4838
1134	0.9208	-0.405	0.487
1135	0.9088	-0.4052	0.4904
1136	0.9116	-0.4038	0.4822
1137	0.9142	-0.4008	0.484
1138	0.9118	-0.4098	0.4786
1139	0.9124	-0.409	0.477
1140	0.9122	-0.4144	0.4804
1141	0.9074	-0.4154	0.4752
1142	0.9092	-0.4024	0.4766
1143	0.906	-0.399	0.473
1144	0.9062	-0.3954	0.4776
1145	0.9092	-0.399	0.4788
1146	0.9196	-0.402	0.476
1147	0.9158	-0.4042	0.4742
1148	0.9168	-0.4126	0.4782
1149	0.9194	-0.4106	0.4826
1150	0.9096	-0.4186	0.4772
1151	0.9062	-0.4278	0.473
1152	0.904	-0.4292	0.4778
1153	0.9038	-0.4272	0.4804
1154	0.9058	-0.4268	0.4838
1155	0.9072	-0.4256	0.48
1156	0.9074	-0.4368	0.4872
1157	0.9126	-0.4406	0.481
1158	0.908	-0.4438	0.4838
1159	0.9092	-0.4404	0.4906
1160	0.9116	-0.4486	0.4952
1161	0.9146	-0.4446	0.5026
1162	0.9092	-0.4508	0.5042
1163	0.9036	-0.4492	0.504
1164	0.9094	-0.4438	0.508
1165	0.9102	-0.4494	0.5028
1166	0.9034	-0.4468	0.5058
1167	0.9116	-0.4404	0.5064
1168	0.9018	-0.44	0.5126
1169	0.8996	-0.4498	0.5164
1170	0.898	-0.4504	0.5094
1171	0.907	-0.4428	0.5186
1172	0.9076	-0.4448	0.512
1173	0.9098	-0.451	0.509
1174	0.9136	-0.448	0.5098
1175	0.9084	-0.4484	0.5088
1176	0.911	-0.4528	0.5044
1177	0.9154	-0.4494	0.5004
1178	0.9126	-0.4612	0.4998
1179	0.9136	-0.4664	0.5012
1180	0.9066	-0.4694	0.4994
1181	0.9002	-0.4666	0.5002
1182	0.904	-0.4632	0.5008
1183	0.9056	-0.4652	0.498
1184	0.8996	-0.467	0.4928
1185	0.8916	-0.4678	0.4924
1186	0.904	-0.4646	0.4922
1187	0.9126	-0.4682	0.4944
1188	0.9106	-0.4732	0.486
1189	0.906	-0.462	0.4838
1190	0.9088	-0.4656	0.484
1191	0.9156	-0.4736	0.4836
1192	0.9122	-0.467	0.4778
1193	0.9138	-0.4698	0.4756
1194	0.9138	-0.4646	0.4824
1195	0.9136	-0.4626	0.4712
1196	0.9114	-0.4734	0.4758
1197	0.9128	-0.4672	0.4692
1198	0.9152	-0.4704	0.468
1199	0.9098	-0.4764	0.4636
1200	0.912	-0.474	0.4634
1201	0.9144	-0.4656	0.4638
1202	0.9212	-0.462	0.4636
1203	0.9224	-0.4636	0.475
1204	0.911	-0.459	0.4674
1205	0.9076	-0.4616	0.4644
1206	0.9134	-0.4552	0.4612
1207	0.914	-0.4506	0.464
1208	0.9094	-0.4506	0.4612
1209	0.9096	-0.4572	0.4608
1210	0.911	-0.4548	0.462
1211	0.9144	-0.4578	0.4596
1212	0.9096	-0.4584	0.4634
1213	0.9092	-0.458	0.461
1214	0.9126	-0.4518	0.4644
1215	0.9182	-0.4534	0.457
1216	0.911	-0.4524	0.4682
1217	0.902	-0.4532	0.4674
1218	0.9072	-0.4584	0.4698
1219	0.916	-0.4674	0.4712
1220	0.9148	-0.4634	0.4702
1221	0.9104	-0.4746	0.4786
1222	0.9162	-0.4766	0.476
1223	0.915	-0.4782	0.465
1224	0.9132	-0.4794	0.481
1225	0.9164	-0.472	0.4828
1226	0.9168	-0.4694	0.481
1227	0.9212	-0.4722	0.4766
1228	0.9214	-0.4678	0.4768
1229	0.9116	-0.4672	0.466
1230	0.9084	-0.468	0.462
1231	0.9104	-0.4702	0.469
1232	0.91	-0.4774	0.463
1233	0.9164	-0.4836	0.458
1234	0.9116	-0.492	0.4666
1235	0.9128	-0.4908	0.454
1236	0.9074	-0.493	0.4576
1237	0.9116	-0.4964	0.4524
1238	0.9092	-0.5014	0.4574
1239	0.9026	-0.506	0.4564
1240	0.8964	-0.5094	0.4554
1241	0.9028	-0.514	0.4594
1242	0.9064	-0.512	0.4556
1243	0.9104	-0.5012	0.4572
1244	0.9142	-0.4996	0.459
1245	0.9118	-0.5096	0.4616
1246	0.9148	-0.5198	0.4614
1247	0.9084	-0.5174	0.4592
1248	0.9132	-0.5114	0.4594
1249	0.9152	-0.5062	0.4676
1250	0.9214	-0.5014	0.4584
1251	0.9148	-0.4982	0.463
1252	0.9104	-0.4952	0.4666
1253	0.9166	-0.4992	0.4734
1254	0.9076	-0.497	0.4818
1255	0.912	-0.4952	0.4734
1256	0.9128	-0.4944	0.4678
1257	0.9058	-0.4988	0.4674
1258	0.9058	-0.502	0.4666
1259	0.9088	-0.4976	0.4714
1260	0.9054	-0.5028	0.4756
1261	0.9066	-0.4974	0.4678
1262	0.8998	-0.5074	0.4682
1263	0.9138	-0.5122	0.4778
1264	0.9152	-0.5028	0.4874
1265	0.9136	-0.5008	0.4908
1266	0.9202	-0.492	0.4794
1267	0.9182	-0.4894	0.4758
1268	0.9102	-0.4896	0.4716
1269	0.915	-0.4864	0.4812
1270	0.9114	-0.4904	0.4726
1271	0.9098	-0.4864	0.469
1272	0.9122	-0.4872	0.4692
1273	0.9064	-0.4868	0.4778
1274	0.8992	-0.4842	0.4754
1275	0.9058	-0.4936	0.4716
1276	0.9082	-0.4956	0.4668
1277	0.913	-0.4904	0.4738
1278	0.915	-0.4936	0.4692
1279	0.9156	-0.494	0.4692
1280	0.9088	-0.485	0.4658
1281	0.912	-0.4808	0.4766
1282	0.9152	-0.4738	0.4764
1283	0.911	-0.4736	0.4752
1284	0.9078	-0.4814	0.4812
1285	0.8998	-0.484	0.4692
1286	0.9022	-0.486	0.4742
1287	0.902	-0.4744	0.4794
1288	0.9032	-0.4896	0.487
1289	0.9074	-0.4866	0.4806
1290	0.9178	-0.4848	0.48
1291	0.914	-0.4856	0.4896
1292	0.9112	-0.4826	0.493
1293	0.9164	-0.4838	0.4822
1294	0.9148	-0.4922	0.4824
1295	0.9158	-0.488	0.4844
1296	0.9204	-0.491	0.4732
1297	0.9194	-0.4978	0.4762
1298	0.9282	-0.5006	0.4734
1299	0.9242	-0.4948	0.4712
1300	0.924	-0.4984	0.4678
1301	0.927	-0.4882	0.471
1302	0.9276	-0.4858	0.4772
1303	0.925	-0.4878	0.4792
1304	0.922	-0.489	0.4772
1305	0.9206	-0.4936	0.4752
1306	0.9306	-0.4952	0.4758
1307	0.9334	-0.4932	0.4736
1308	0.9332	-0.491	0.4682
1309	0.932	-0.4904	0.4776
1310	0.9292	-0.4936	0.4858
1311	0.9222	-0.488	0.4842
1312	0.9178	-0.4848	0.4808
1313	0.9136	-0.4912	0.4814
1314	0.9154	-0.493	0.4742
1315	0.9134	-0.4982	0.4684
1316	0.904	-0.4958	0.476
1317	0.9038	-0.4868	0.4792
1318	0.9056	-0.4946	0.471
1319	0.9026	-0.499	0.4746
1320	0.904	-0.4948	0.4682
1321	0.9014	-0.4914	0.4664
1322	0.9054	-0.488	0.4678
1323	0.8998	-0.4874	0.4678
1324	0.8942	-0.482	0.4678
1325	0.902	-0.4856	0.4758
1326	0.9062	-0.4906	0.4724
1327	0.9146	-0.4944	0.4768
1328	0.9128	-0.5108	0.4854
1329	0.9112	-0.5116	0.4828
1330	0.91	-0.5082	0.4838
1331	0.9058	-0.5116	0.4938
1332	0.9084	-0.5116	0.4992
1333	0.9098	-0.5046	0.4864
1334	0.9008	-0.5012	0.4862
1335	0.8984	-0.517	0.4884
1336	0.8954	-0.5226	0.4832
1337	0.8892	-0.5222	0.4888
1338	0.8972	-0.5172	0.4852
1339	0.907	-0.5168	0.4894
1340	0.8944	-0.511	0.4856
1341	0.9038	-0.5098	0.4822
1342	0.8996	-0.5136	0.4878
1343	0.8954	-0.5206	0.4928
1344	0.8922	-0.515	0.4974
1345	0.9038	-0.494	0.506
1346	0.8974	-0.4998	0.5066
1347	0.9004	-0.5036	0.5054
1348	0.9014	-0.5074	0.5036
1349	0.8974	-0.5062	0.4952
1350	0.9078	-0.4982	0.4944
1351	0.9144	-0.493	0.495
1352	0.9134	-0.5018	0.498
1353	0.9068	-0.4942	0.4988
1354	0.8994	-0.487	0.4948
1355	0.8986	-0.4808	0.4984
1356	0.9008	-0.4834	0.4984
1357	0.9056	-0.4804	0.4994
1358	0.9072	-0.4804	0.5056
1359	0.914	-0.484	0.4934
1360	0.9216	-0.49	0.492
1361	0.9094	-0.493	0.4964
1362	0.905	-0.4934	0.494
1363	0.9022	-0.4926	0.4812
1364	0.904	-0.4862	0.4742
1365	0.9064	-0.4894	0.4736
1366	0.91	-0.4796	0.475
1367	0.9078	-0.485	0.4726
1368	0.9144	-0.4886	0.4702
1369	0.9206	-0.4826	0.4718
1370	0.9184	-0.4758	0.4734
1371	0.9198	-0.4696	0.4728
1372	0.9216	-0.4652	0.4748
1373	0.9172	-0.4656	0.478
1374	0.9186	-0.466	0.474
1375	0.9108	-0.4742	0.4724
1376	0.915	-0.4676	0.4702
1377	0.9086	-0.4714	0.4812
1378	0.9154	-0.4742	0.4778
1379	0.9062	-0.4758	0.4714
1380	0.9086	-0.4748	0.4786
1381	0.9138	-0.4794	0.4712
1382	0.9146	-0.479	0.4714
1383	0.9186	-0.4808	0.4708
1384	0.9246	-0.478	0.4672
1385	0.921	-0.48	0.4762
1386	0.9236	-0.4788	0.4772
1387	0.923	-0.463	0.4696
1388	0.926	-0.4758	0.4734
1389	0.9222	-0.4736	0.4702
1390	0.9224	-0.4744	0.4664
1391	0.9234	-0.4812	0.4674
1392	0.9234	-0.4836	0.4698
1393	0.9284	-0.4838	0.4698
1394	0.9162	-0.4804	0.4742
1395	0.917	-0.4836	0.472
1396	0.9194	-0.4898	0.4806
1397	0.928	-0.4952	0.4792
1398	0.918	-0.4848	0.4756
1399	0.9112	-0.4808	0.4856
1400	0.9092	-0.486	0.4694
1401	0.914	-0.4902	0.4782
1402	0.909	-0.496	0.4736
1403	0.9174	-0.5036	0.4824
1404	0.9164	-0.4874	0.4818
1405	0.9174	-0.497	0.487
1406	0.9226	-0.4824	0.4866
1407	0.9226	-0.474	0.4778
1408	0.916	-0.4756	0.4794
1409	0.9086	-0.4782	0.4736
1410	0.9098	-0.49	0.4782
1411	0.906	-0.4872	0.4762
1412	0.906	-0.4862	0.4732
1413	0.8988	-0.494	0.4662
1414	0.9014	-0.4904	0.4766
1415	0.9074	-0.4806	0.468
1416	0.9148	-0.4856	0.4736
1417	0.9112	-0.4794	0.4776
1418	0.9018	-0.4726	0.4726
1419	0.8958	-0.477	0.4686
1420	0.8978	-0.4746	0.4762
1421	0.8954	-0.4656	0.4702
1422	0.8998	-0.4712	0.4648
1423	0.9024	-0.4694	0.4706
1424	0.898	-0.477	0.4746
1425	0.8988	-0.4724	0.4796
1426	0.8956	-0.4754	0.4766
1427	0.9026	-0.4808	0.4756
1428	0.9018	-0.4834	0.4762
1429	0.8928	-0.486	0.4814
1430	0.9014	-0.4818	0.4844
1431	0.903	-0.4778	0.4786
1432	0.8948	-0.4766	0.479
1433	0.8992	-0.4896	0.4718
1434	0.9072	-0.492	0.4794
1435	0.907	-0.4912	0.4666
1436	0.9104	-0.4914	0.4794
1437	0.9078	-0.4912	0.474
1438	0.9004	-0.492	0.456
1439	0.9024	-0.4906	0.4584
1440	0.905	-0.4912	0.4552
1441	0.91	-0.4882	0.4598
1442	0.9076	-0.4892	0.4562
1443	0.9086	-0.4882	0.453
1444	0.8966	-0.4862	0.4484
1445	0.9034	-0.4896	0.4422
1446	0.9088	-0.49	0.4348
1447	0.8994	-0.488	0.4368
1448	0.8964	-0.4834	0.4318
1449	0.8966	-0.4936	0.4296
1450	0.9014	-0.4968	0.4188
1451	0.9112	-0.5012	0.4126
1452	0.9104	-0.4932	0.423
1453	0.917	-0.4856	0.4268
1454	0.919	-0.492	0.4262
1455	0.9152	-0.491	0.4266
1456	0.9166	-0.4866	0.4338
1457	0.9074	-0.4918	0.4322
1458	0.9158	-0.5002	0.4328
1459	0.9184	-0.503	0.4396
1460	0.908	-0.4874	0.4366
1461	0.9022	-0.4882	0.4358
1462	0.91	-0.4934	0.428
1463	0.9136	-0.4948	0.424
1464	0.9184	-0.499	0.4224
1465	0.9206	-0.503	0.423
1466	0.9174	-0.5048	0.42
1467	0.916	-0.513	0.4276
1468	0.9208	-0.5226	0.4148
1469	0.9212	-0.5246	0.4118
1470	0.9186	-0.5122	0.417
1471	0.917	-0.5098	0.4168
1472	0.9232	-0.5162	0.4202
1473	0.924	-0.5058	0.417
1474	0.9194	-0.5184	0.415
1475	0.9148	-0.5286	0.4192
1476	0.9212	-0.5202	0.424
1477	0.9222	-0.5182	0.4222
1478	0.9174	-0.5096	0.4272
1479	0.9074	-0.505	0.4278
1480	0.904	-0.506	0.4374
1481	0.9028	-0.5006	0.4352
1482	0.898	-0.5064	0.43
1483	0.8918	-0.5048	0.4306
1484	0.8958	-0.5008	0.434
1485	0.9	-0.4946	0.4356
1486	0.9016	-0.5118	0.4316
1487	0.9004	-0.521	0.4348
1488	0.9076	-0.5288	0.4244
1489	0.9068	-0.5186	0.4186
1490	0.9022	-0.5244	0.417
1491	0.9064	-0.532	0.4208
1492	0.9038	-0.5364	0.4296
1493	0.9092	-0.5338	0.4126
1494	0.9086	-0.5352	0.4182
1495	0.9154	-0.5384	0.4158
1496	0.9178	-0.534	0.4166
1497	0.9172	-0.5322	0.4082
1498	0.9088	-0.5272	0.4126
1499	0.9104	-0.5254	0.414
1500	0.9076	-0.5188	0.4132
1501	0.9056	-0.5174	0.4158
1502	0.9026	-0.5178	0.4176
1503	0.9044	-0.5112	0.4204
1504	0.9066	-0.519	0.4206
1505	0.9038	-0.5162	0.4244
1506	0.913	-0.5196	0.4338
1507	0.921	-0.519	0.4358
1508	0.916	-0.52	0.4498
1509	0.9152	-0.5214	0.4562
1510	0.912	-0.523	0.4508
1511	0.9006	-0.52	0.4468
1512	0.9024	-0.5238	0.4434
1513	0.905	-0.5214	0.4322
1514	0.9078	-0.5306	0.434
1515	0.9118	-0.5364	0.4346
1516	0.921	-0.539	0.4392
1517	0.917	-0.5338	0.4334
1518	0.916	-0.5396	0.4366
1519	0.9168	-0.535	0.4402
1520	0.9238	-0.5406	0.4262
1521	0.9246	-0.5438	0.4374
1522	0.9244	-0.5376	0.4254
1523	0.926	-0.5412	0.4242
1524	0.9224	-0.541	0.4246
1525	0.919	-0.5426	0.422
1526	0.9158	-0.535	0.4162
1527	0.9152	-0.5444	0.4272
1528	0.918	-0.5456	0.4232
1529	0.911	-0.5468	0.4194
1530	0.911	-0.5404	0.4166
1531	0.913	-0.5352	0.4246
1532	0.9056	-0.5264	0.4162
1533	0.9198	-0.5362	0.4124
1534	0.9178	-0.529	0.4102
1535	0.9096	-0.5274	0.408
1536	0.9056	-0.5416	0.4018
1537	0.9094	-0.5414	0.4168
1538	0.9158	-0.5482	0.4126
1539	0.9098	-0.548	0.4042
1540	0.9114	-0.5432	0.421
1541	0.9026	-0.5458	0.4196
1542	0.9158	-0.547	0.4152
1543	0.9196	-0.5502	0.416
1544	0.918	-0.5646	0.4064
1545	0.9208	-0.571	0.4042
1546	0.932	-0.5656	0.4044
1547	0.9268	-0.5606	0.4028
1548	0.9218	-0.5664	0.4108
1549	0.9176	-0.5678	0.4156
1550	0.9222	-0.577	0.415
1551	0.926	-0.572	0.4144
1552	0.9352	-0.5644	0.404
1553	0.932	-0.566	0.405
1554	0.9286	-0.5668	0.4054
1555	0.9256	-0.563	0.402
1556	0.9274	-0.565	0.3908
1557	0.925	-0.5666	0.3936
1558	0.9234	-0.5696	0.391
1559	0.9148	-0.5686	0.3872
1560	0.9146	-0.5758	0.3906
1561	0.9066	-0.5618	0.4048
1562	0.9088	-0.5566	0.4098
1563	0.913	-0.5528	0.4024
1564	0.9106	-0.561	0.4002
1565	0.9104	-0.5596	0.4034
1566	0.916	-0.5606	0.3928
1567	0.9092	-0.5604	0.4032
1568	0.9102	-0.5576	0.4008
1569	0.9156	-0.5692	0.3998
1570	0.9176	-0.5626	0.3934
1571	0.9184	-0.5742	0.3978
1572	0.9214	-0.5674	0.3964
